id,behavior
1,MB_TALL_GRASS
2,MB_TALL_GRASS
3,MB_TALL_GRASS
4,MB_TALL_GRASS
7,MB_TALL_GRASS
69,MB_OCEAN_WATER
70,MB_OCEAN_WATER
71,MB_OCEAN_WATER
77,MB_OCEAN_WATER
78,MB_OCEAN_WATER
79,MB_OCEAN_WATER
80,MB_OCEAN_WATER
81,MB_OCEAN_WATER
85,MB_OCEAN_WATER
86,MB_OCEAN_WATER
87,MB_OCEAN_WATER
88,MB_OCEAN_WATER
89,MB_OCEAN_WATER
93,MB_OCEAN_WATER
94,MB_OCEAN_WATER
95,MB_OCEAN_WATER
101,MB_OCEAN_WATER
102,MB_OCEAN_WATER
103,MB_OCEAN_WATER
111,MB_OCEAN_WATER
114,MB_JUMP_SOUTH
115,MB_JUMP_SOUTH
116,MB_JUMP_SOUTH
117,MB_ROCK_STAIRS
118,MB_ROCK_STAIRS
119,MB_ROCK_STAIRS
134,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_TOP
135,MB_SIDEWAYS_STAIRS_RIGHT_SIDE
142,MB_SIDEWAYS_STAIRS_RIGHT_SIDE
143,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_BOTTOM
